nom;type;adresse;description;image;heureOuverture;heureFermeture;capacite;exterieur;rooftop;etage;email;etoiles;numeroTelephone;latitude;longitude
D'Enfer Pub;bar;25 Rue Colonel Denfert Rochereau, 38000 Grenoble;Un pub populaire pour ses soirées animées et sa sélection de bières.;enferPub;18;2;90;false;false;0;denferpub@gmail.com;3;+33 4 76 44 23 44;45.1885296;5.7165826
Le Métropolitain;bar;2 Rue Auguste Gaché, 38000 Grenoble;Bar à vins avec une ambiance élégante et une grande variété de vins.;metropolitain;18;1;70;false;false;0;lemetropolitain@gmail.com;5;+33 4 76 48 59 60;45.19126781596057; 5.731330091918713
Le Tord Boyaux;bar;4 Rue Auguste Gaché, 38000 Grenoble;Bar à bières avec une ambiance décontractée et de nombreuses options de bières pression.;tordBoyaux;16;1;60;true;false;0;tordboyaux@gmail.com;4;+33 4 76 47 38 47;45.191167;5.731162
Pharaon Pub;bar;9 Rue Chenoise, 38000 Grenoble;Un pub à thème égyptien avec des décorations uniques et une ambiance festive.;pharaonPub;17;2;80;false;false;0;pharaonpub@gmail.com;3;+33 4 76 45 23 45;45.19342564639468; 5.730831644933376
Le Champollion;bar;22 Boulevard Gambetta, 38000 Grenoble;Un bar classique avec une terrasse agréable et une bonne sélection de boissons.;champollion;17;1;100;true;false;0;champollion@gmail.com;4;+33 4 76 42 24 42;45.1871479839122; 5.723809855223423
Le Couche Tard;bar;1 Rue du Pallais, 38000 Grenoble;Un bar de nuit populaire pour ses cocktails et son ambiance détendue.;coucheTard;20;3;70;true;false;0;couche-tard@gmail.com;4;+33 4 76 23 56 23;45.1929842;5.7292226
La Nat';bar;32 Boulevard Gambetta, 38000 Grenoble;Un bar sportif avec des écrans pour regarder les matchs en direct.;laNat;15;1;150;true;false;0;natation@gmail.com;4;+33 4 76 56 78 89;45.1856774;5.7247185
La Fabryk;bar;Place Grenette, 38000 Grenoble;Un bar branché avec une décoration industrielle et des cocktails créatifs.;fabryk;16;2;80;false;true;1;lafabryk@gmail.com;5;+33 4 76 12 34 56;45.1909437;5.7271395
The Old Bridge;bar;16 Quai Mounier, 38000 Grenoble;Un pub anglais avec une bonne sélection de bières et une ambiance conviviale.;oldBridge;17;2;100;true;false;0;oldbridge@gmail.com;4;+33 4 76 98 76 54;45.1948556;5.7287814
Les Copains d'Abord;bar;35 Rue Lesdiguières, 38000 Grenoble;Un bar chaleureux avec une ambiance conviviale et une bonne sélection de vins.;copainDabord;16;1;60;false;false;0;copainsdabord@gmail.com;4;+33 4 76 87 65 43;45.185968082519764; 5.724598983659446
Le P'tit Perrière;bar;40 Quai Perrière, 38000 Grenoble;Un bar à cocktails cosy avec une vue sur le quai.;ptitPerriere;18;1;40;true;false;0;ptitperriere@gmail.com;4;+33 4 76 32 14 65;45.19421958879116; 5.726279404123035
Sos Apero;Bar;1 ter Rue Colbert, 38000 Grenoble;Bar-discothèque animé prisé des jeunes, avec des cocktails, des DJ, et des soirées dansantes et à thème.;sosApero;20;1;100;false;false;0;;4;+33 7 70 71 83 93;45.187013432909346; 5.717797270609952
Le Marquee;NightClub;56 Rte de Lyon, 38000 Grenoble;Discothèque animée et ouverte tard dans la nuit, offrant bar complet et piste de danse avec différents genres de musique.;marquee;23;6;100;false;false;1;;3;+33 65 97 57 91 3;45.19774329581899; 5.718627555266472
Vieux Manoir;NightClub;50 Rue Saint-Laurent, 38100 Grenoble;Discothèque animée et ouverte tard dans la nuit, offrant bar complet et 4 pistes de danse avec différents genres de musique.;vm;0;7;150;false;false;3;;3;+33 47 64 20 06 8;45.19566313642606; 5.729384099446207
Discotheque Lamartine;NightClub;1 Rue Lamartine, 38000 Grenoble;Discothèque offrant Son d'exception, Dj Guest, Spectacles, Artistes et Animations. et ouverte tard dans la nuit;lamartine;0;7;150;false;false;0;;5;;45.1881855547932; 5.724983084102097
BowlCenter echirolles;Bowling;19 Av. de Grugliasco, 38130 echirolles;Bar, billard et creperie chaleureuse dans un bowling de 32 pistes aux equipements modernes, avec soirees DJ.;bowlCenter;14;3;100;false;false;0;;4;+33 47 62 34 09 0;45.15077959780069; 5.716904674374068
Laser Game Evolution Grenoble ;LaserGame;14 Rue Colonel Dumont, 38000 Grenoble;Laser Game / Blind Test / Bar;laserGameGre;10;0;50;false;false;0;;5;+33 47 61 70 85 0 ;45.181538857065384; 5.720914282250203
Laser Game Evolution Saint Martin d'H�res;LaserGame;29 Rue du Champ Roman, 38400 Saint-Martin-d'H�res;Laser Game / Blind Test / Bar;laserGameSmh;10;0;50;false;false;0;;5;+33 47 61 70 85 0;45.18474382947384;5.77412845526606
